identifier,label
P03265,0
P03045,2
P00004,2
P27695,0
Q64693,2
P32774,0
P0DMM9,1
P13569,0
P0DN86,1
P05371,1
P61926,2
P38936,2
P49918,2
P46527,2
P11938,1
P13551,0
P14061,0
P03129,2
P14738,0
P06179,1
P26477,2
Q13541,2
Q07731,0
P04150,1
P13255,0
P10912,1
P22121,0
Q9Y9L0,1
P05204,2
P17096,0
P07746,2
P02315,2
P02929,1
P02259,0
P02687,2
P03406,1
P07214,2
P27001,1
P78356,1
P10688,0
P11409,0
P19793,1
P49799,1
P03607,1
O86488,1
P27285,0
Q57733,1
P60881,2
P63027,1
P37840,2
P23441,1
Q8WZ42,0
P04818,0
P03372,1
P11387,1
P06786,1
P07248,0
P01100,1
Q92731,0
P15337,0
P51123,0
P39935,0
P03069,1
P61244,1
Q04206,1
P04637,1
P68336,1
P0ABI8,1
P0ABJ1,0
Q14722,0
P27088,1
Q08209,1
P04177,0
Q9HKT1,0
P10922,1
Q53654,0
P50440,0
P0A6H5,0
P12493,0
P10587,0
P09372,0
P32773,1
P69924,0
P07598,0
P40881,0
P27577,0
P22239,2
P31109,1
P81455,2
P60058,1
P05059,2
P10163,2
P12957,0
P15146,1
P01730,0
P40357,1
Q04207,0
P22531,1
P07221,2
P03422,1
Q06787,1
P10961,1
P15865,2
P01050,1
P12272,1
P0A7L8,2
O95405,0
P14602,0
Q9VAN6,1
P0A7S3,1
P0A7U3,0
P03347,0
P02547,0
Q13426,1
P01112,0
P29353,0
P32851,0
P54725,1
P0CL52,0
P09803,0
P04851,1
P77173,1
O75324,1
Q03768,2
P05318,2
P19429,0
P10114,0
Q9NVS9,0
P04049,0
O00273,1
P16949,2
Q9NQB0,1
P42512,0
Q9Y5B0,0
P01094,2
P19972,0
P08775,1
P03087,0
P11473,1
Q95V77,2
P04273,1
P38038,1
P00747,0
P02668,0
P02754,2
P0AFZ3,1
P02313,2
P20810,0
P0A707,0
P33905,0
P20963,2
P02721,1
P0A8H9,1
Q82S91,2
P17838,0
P21513,1
P24592,0
P10451,2
P05221,1
Q90623,1
O60927,2
P17810,0
P07476,2
P32499,2
P14635,0
Q05140,1
Q9CXW3,1
P07293,0
P05455,1
Q14449,0
P14859,1
P14448,1
P02686,1
P38398,2
P31896,0
P35611,1
P35612,1
P0AG63,2
P23025,0
P00514,0
P63315,1
P01555,1
O88339,1
P0A877,0
P40316,1
O31851,0
P01106,1
Q16665,1
P04925,1
Q24298,0
P02699,0
P04695,0
P02458,0
Q12287,1
P08050,1
P08523,1
P0C2E9,0
Q04656,0
P16009,0
P10388,1
Q32NN2,0
P40337,1
Q06253,1
P0C5S4,0
P0AE73,1
P10415,0
Q07817,1
P0AE70,0
P0ABQ4,1
P02185,0
P31751,0
P51946,0
P06132,0
P00533,0
P62495,0
P24071,0
Q9UJY5,0
O43464,0
O15350,0
P05121,0
Q9UM07,0
P11309,0
O75469,0
P09651,0
P01099,2
O14832,0
Q08605,1
P02666,2
P21815,2
P27797,2
Q00987,0
Q64364,1
P06968,0
P16442,0
P62965,2
Q02248,1
P09883,0
Q9Y6Q9,0
P62152,0
P16535,0
P07140,0
P04972,2
P45481,0
P06709,0
Q56311,0
Q27974,1
O33599,0
P23202,1
Q99967,0
P62328,2
Q15185,1
A6Q0K5,1
Q16222,0
Q15382,0
P53041,1
Q9NR00,2
P45577,0
P08047,1
P22868,0
P38582,0
O28362,1
P63158,1
P49841,0
P25814,2
