identifier,label
P03265,0.098
P03045,1.0
P00004,0.99
P27695,0.132
Q64693,1.0
P32774,0.131
P0DMM9,0.203
P13569,0.125
P0DN86,0.206
P05371,0.255
P61926,1.0
P38936,1.0
P49918,1.0
P46527,1.0
P11938,0.466
P13551,0.032
P14061,0.122
P03129,1.0
P14738,0.128
P06179,0.212
P26477,1.0
Q13541,1.0
Q07731,0.171
P04150,0.239
P13255,0.034
P10912,0.55
P22121,0.021
Q9Y9L0,0.216
P05204,1.0
P17096,0.103
P07746,1.0
P02315,1.0
P02929,0.205
P02259,0.168
P02687,1.0
P03406,0.592
P07214,0.944
P27001,0.289
P78356,0.291
P10688,0.168
P11409,0.149
P19793,0.327
P49799,0.376
P03607,0.229
O86488,0.422
P27285,0.091
Q57733,0.218
P60881,1.0
P63027,0.241
P37840,1.0
P23441,0.419
Q8WZ42,0.063
P04818,0.15
P03372,0.355
P11387,0.38
P06786,0.259
P07248,0.022
P01100,0.434
Q92731,0.194
P15337,0.173
P51123,0.031
P39935,0.103
P03069,0.324
P61244,0.362
Q04206,0.225
P04637,0.425
P68336,0.271
P0ABI8,0.293
P0ABJ1,0.149
Q14722,0.148
P27088,0.633
Q08209,0.311
P04177,0.143
Q9HKT1,0.057
P10922,0.66
Q53654,0.019
P50440,0.061
P0A6H5,0.079
P12493,0.056
P10587,0.029
P09372,0.162
P32773,0.206
P69924,0.093
P07598,0.057
P40881,0.15
P27577,0.18
P22239,1.0
P31109,0.795
P81455,1.0
P60058,0.441
P05059,1.0
P10163,0.948
P12957,0.176
P15146,0.251
P01730,0.133
P40357,0.386
Q04207,0.018
P22531,0.625
P07221,1.0
P03422,0.592
Q06787,0.41
P10961,0.2
P15865,0.991
P01050,0.246
P12272,0.514
P0A7L8,1.0
O95405,0.062
P14602,0.086
Q9VAN6,0.5
P0A7S3,0.218
P0A7U3,0.12
P03347,0.107
P02547,0.193
Q13426,0.262
P01112,0.106
P29353,0.039
P32851,0.076
P54725,0.405
P0CL52,0.171
P09803,0.083
P04851,0.237
P77173,0.305
O75324,0.295
Q03768,1.0
P05318,1.0
P19429,0.157
P10114,0.06
Q9NVS9,0.184
P04049,0.042
O00273,0.35
P16949,1.0
Q9NQB0,0.21
P42512,0.06
Q9Y5B0,0.086
P01094,1.0
P19972,0.131
P08775,0.219
P03087,0.058
P11473,0.349
Q95V77,1.0
P04273,0.409
P38038,0.289
P00747,0.111
P02668,0.111
P02754,1.0
P0AFZ3,0.333
P02313,0.989
P20810,0.199
P0A707,0.067
P33905,0.103
P20963,0.835
P02721,0.704
P0A8H9,0.4
Q82S91,1.0
P17838,0.115
P21513,0.532
P24592,0.113
P10451,1.0
P05221,0.405
Q90623,0.298
O60927,1.0
P17810,0.183
P07476,1.0
P32499,1.0
P14635,0.18
Q05140,0.622
Q9CXW3,0.358
P07293,0.02
P05455,0.203
Q14449,0.139
P14859,0.303
P14448,0.395
P02686,0.562
P38398,0.829
P31896,0.042
P35611,0.418
P35612,0.438
P0AG63,0.988
P23025,0.092
P00514,0.058
P63315,0.366
P01555,0.795
O88339,0.751
P0A877,0.078
P40316,0.295
O31851,0.189
P01106,0.38
Q16665,0.42
P04925,0.386
Q24298,0.105
P02699,0.112
P04695,0.031
P02458,0.018
Q12287,0.391
P08050,0.301
P08523,0.264
P0C2E9,0.096
Q04656,0.035
P16009,0.033
P10388,0.347
Q32NN2,0.038
P40337,0.268
Q06253,0.452
P0C5S4,0.114
P0AE73,0.463
P10415,0.096
Q07817,0.227
P0AE70,0.117
P0ABQ4,0.27
P02185,0.13
P31751,0.143
P51946,0.142
P06132,0.027
P00533,0.011
P62495,0.087
P24071,0.045
Q9UJY5,0.11
O43464,0.061
O15350,0.025
P05121,0.097
Q9UM07,0.098
P11309,0.045
O75469,0.074
P09651,0.07
P01099,1.0
O14832,0.115
Q08605,0.25
P02666,1.0
P21815,1.0
P27797,1.0
Q00987,0.193
Q64364,0.219
P06968,0.105
P16442,0.045
P62965,1.0
Q02248,0.321
P09883,0.143
Q9Y6Q9,0.05
P62152,0.067
P16535,0.073
P07140,0.066
P04972,1.0
P45481,0.039
P06709,0.072
Q56311,0.179
Q27974,0.293
O33599,0.174
P23202,0.316
Q99967,0.185
P62328,1.0
Q15185,0.237
A6Q0K5,0.252
Q16222,0.033
Q15382,0.06
P53041,0.259
Q9NR00,1.0
P45577,0.19
P08047,0.276
P22868,0.075
P38582,0.153
O28362,0.392
P63158,0.279
P49841,0.198
P25814,1.0
P09983,0.061
P17870,0.093
Q09161,0.065
P52298,0.468
P40136,0.064
Q9ES89,0.033
P07342,0.083
P50097,0.099
O00204,0.038
P07363,0.099
P12497,0.052
P0A6G1,0.155
P0ABS1,0.113
P0ABE0,0.179
P78504,0.103
P03176,0.157
Q96T21,0.795
P07516,1.0
P0A6R3,0.235
P53551,0.36
P04325,0.621
P0AFG8,0.096
P53350,0.033
P32170,0.036
P11632,0.183
Q9SQZ9,0.119
Q01853,0.154
P50477,0.182
P43351,0.055
Q05158,0.361
Q14191,0.017
P02511,0.057
O35718,0.16
P12579,1.0
Q9Y613,0.052
P53563,0.215
P80457,0.02
P84092,0.106
Q9Y3D6,0.164
P37727,0.211
P08083,0.233
P11157,0.262
Q9Z0U4,0.083
Q13485,0.04
P04156,0.403
P25963,0.341
O24646,0.458
P50542,0.507
Q49AN0,0.175
Q43125,0.288
Q6Q547,0.672
Q08826,0.179
Q9UBE0,0.22
Q9UBT2,0.192
P09938,0.13
P49723,0.148
Q62165,0.109
P10275,0.392
Q9Z2F5,0.2
P30273,0.244
O60356,1.0
P56210,0.12
Q97ZL0,0.109
P60472,0.107
P52179,0.057
O54918,0.281
P25054,0.135
Q969F2,0.481
O95997,1.0
